City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sena madureira,-9.0656,-68.6569,33.59,40,67,1.68,BR,1698703274
83,ribeira grande,38.5167,-28.7,19.32,77,40,7.6,PT,1698702779
84,talnakh,69.4865,88.3972,-17.11,97,100,2.88,RU,1698702832
85,san antonio de pale,-1.4014,5.6325,26.45,85,71,5.96,GQ,1698702827
86,eyl,7.9803,49.8164,26.84,76,94,3.87,SO,1698702836
87,salinopolis,-0.6136,-47.3561,28.19,79,0,8.22,BR,1698703277
88,nueva gerona,21.8833,-82.8,26.89,77,47,3.78,CU,1698703277
89,emerald,-23.5333,148.1667,22.41,45,2,4.36,AU,1698703278
90,onverwacht,5.5833,-55.1833,28.92,88,40,2.06,SR,1698703278
91,hermanus,-34.4187,19.2345,14.57,75,1,9.01,ZA,1698702706
92,rossosh',51.1209,38.5116,12.32,70,100,7.14,RU,1698703280
93,juan griego,11.0817,-63.9655,28.1,82,96,4.56,VE,1698703280
94,dolores,-36.3132,-57.6792,13.91,58,76,5.58,AR,1698703281
95,pollenca,39.8768,3.0163,20.43,51,0,13.86,ES,1698703281
96,iranshahr,27.2025,60.6848,24.19,35,0,2.06,IR,1698703282
97,mechraa bel ksiri,34.574,-5.9537,17.79,77,83,2.2,MA,1698703283
98,tuy hoa,13.0833,109.3,24.69,92,100,3.03,VN,1698703283
99,zemio,5.0314,25.1361,22.61,87,98,1.37,CF,1698703284
100,invercargill,-46.4,168.35,12.23,89,99,1.34,NZ,1698703253
101,blackmans bay,-43.0167,147.3167,9.29,70,22,0.89,AU,1698702821
102,jacmel,18.2342,-72.5347,30.91,78,52,1.36,HT,1698703285
103,arraial do cabo,-22.9661,-42.0278,26.98,83,0,2.57,BR,1698702827
104,ancud,-41.8697,-73.8203,7.79,81,29,3.86,CL,1698702816
105,malango,-2.9627,119.9001,19.21,92,75,0.67,ID,1698703287
106,valle nacional,17.7833,-96.3167,25.14,89,18,2.78,MX,1698703287
107,santo antonio,-6.3106,-35.4789,24.32,71,13,6.32,BR,1698703288
108,tiksi,71.6872,128.8694,-21.7,100,21,1.69,RU,1698702815
109,college,64.8569,-147.8028,1.36,86,100,0.0,US,1698702565
110,nemuro,43.3236,145.575,10.01,82,47,4.86,JP,1698702844
111,tolanaro,-25.0319,46.9987,25.04,83,75,0.0,MG,1698702819
112,kamloops,50.6665,-120.3192,7.64,52,20,3.6,CA,1698703113
113,umluj,25.0213,37.2685,27.97,55,0,1.68,SA,1698703275
114,laojunmiao,39.8333,97.7333,5.86,28,53,1.35,CN,1698703292
115,hammerfest,70.6634,23.6821,1.25,86,100,4.63,NO,1698702827
116,los frentones,-26.4077,-61.4137,22.32,70,15,5.61,AR,1698703293
